'1fps_image_0053.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0337677, -0.998829, 0.0346366, -62.9902], [-0.789611, 0.00541722, -0.613584, 1.69948], [0.612678, -0.0480687, -0.78887, 65.1789], [0.0, 0.0, 0.0, 1.0]] , [2511.8600000000001, 2511.8600000000001, 2048.0, 1080.0]
'1fps_image_0054.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0660521, -0.997423, 0.0280274, -63.8667], [-0.787905, 0.0349013, -0.614808, 3.84082], [0.612245, -0.0626923, -0.788179, 64.5372], [0.0, 0.0, 0.0, 1.0]] , [2511.4699999999998, 2511.4699999999998, 2048.0, 1080.0]
'1fps_image_0055.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.042397, -0.998632, 0.0306038, -62.9777], [-0.786014, 0.01443, -0.61804, 3.38323], [0.616753, -0.050258, -0.785551, 65.7239], [0.0, 0.0, 0.0, 1.0]] , [2511.8800000000001, 2511.8800000000001, 2048.0, 1080.0]
'1fps_image_0056.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0420384, -0.998669, 0.0299004, -63.2017], [-0.788709, 0.0147994, -0.614588, 3.54654], [0.613328, -0.049419, -0.788281, 66.6617], [0.0, 0.0, 0.0, 1.0]] , [2512.8099999999999, 2512.8099999999999, 2048.0, 1080.0]
'1fps_image_0057.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0779433, -0.996506, 0.0300006, -64.8909], [-0.787372, 0.0430713, -0.614971, 5.98394], [0.611531, -0.0715546, -0.787978, 66.1238], [0.0, 0.0, 0.0, 1.0]] , [2512.3200000000002, 2512.3200000000002, 2048.0, 1080.0]
'1fps_image_0058.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0699362, -0.996853, 0.037328, -65.1333], [-0.790783, 0.0325909, -0.611229, 5.35865], [0.608088, -0.0722653, -0.790573, 66.7806], [0.0, 0.0, 0.0, 1.0]] , [2512.1900000000001, 2512.1900000000001, 2048.0, 1080.0]
'1fps_image_0059.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0482185, -0.99833, 0.0318252, -63.9968], [-0.791191, 0.0187271, -0.611282, 5.08402], [0.609665, -0.0546549, -0.790772, 68.7594], [0.0, 0.0, 0.0, 1.0]] , [2513.3899999999999, 2513.3899999999999, 2048.0, 1080.0]
'1fps_image_0060.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0477838, -0.998235, 0.0352548, -64.0019], [-0.790496, 0.0162166, -0.612253, 5.84241], [0.610601, -0.0571245, -0.789875, 69.4838], [0.0, 0.0, 0.0, 1.0]] , [2513.3699999999999, 2513.3699999999999, 2048.0, 1080.0]
'1fps_image_0061.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.057908, -0.997712, 0.0348953, -64.6577], [-0.792435, 0.0246776, -0.609457, 6.67663], [0.607201, -0.0629447, -0.792051, 70.0313], [0.0, 0.0, 0.0, 1.0]] , [2512.4200000000001, 2512.4200000000001, 2048.0, 1080.0]
'1fps_image_0062.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.08851, -0.995518, 0.0333278, -65.8249], [-0.792441, 0.050104, -0.607888, 8.69208], [0.603493, -0.0802145, -0.793324, 69.7301], [0.0, 0.0, 0.0, 1.0]] , [2513.1399999999999, 2513.1399999999999, 2048.0, 1080.0]
